Date,Volume,Low (EUR),High (EUR)
2018-11-18,4159680000,4836.974004,4918.640581
2018-11-19,7039560000,4213.331836,4890.078413
2018-11-20,8428290000,3716.735581,4307.900581
2018-11-21,6120120000,3779.262583,4067.885083
2018-11-22,4569370000,3798.106919,4027.786919
2018-11-23,4871490000,3650.241753,3824.885332
2018-11-24,4679500000,3301.789123,3839.388164
2018-11-25,6825640000,3119.002251,3585.157002
2018-11-26,6476900000,3170.210332,3573.211919
2018-11-27,5998720000,3185.078709,3360.775166
2018-11-28,7280280000,3325.548875,3815.732915
2018-11-29,6503347767,3606.815669,3839.327842
2018-11-30,6048016716,3430.255158,3760.98961
2018-12-01,5375314093,3453.648303,3749.158374
2018-12-02,5262697895,3576.551309,3742.321992
2018-12-03,5089570993,3341.188271,3615.702158
2018-12-04,5028069239,3334.4925,3545.796087
2018-12-05,5302481573,3265.97554,3453.496223
2018-12-06,5878333109,3063.358572,3371.220476
2018-12-07,6835615448,2853.799021,3055.953589
2018-12-08,5305024497,2915.066052,3050.257808
2018-12-09,4947372847,3018.111987,3206.215928
2018-12-10,5020968740,3019.025742,3173.179292
2018-12-11,4696765187,2951.2575,3056.471001
2018-12-12,4139364828,2969.728857,3074.778809
2018-12-13,4343372456,2869.37491,3036.073367
2018-12-14,4372763663,2789.691745,2896.71364
2018-12-15,3551763561,2776.434016,2849.578799
2018-12-16,3744248994,2813.423247,2876.005261
2018-12-17,5409247918,2830.217051,3130.188633
2018-12-18,5911325472,3033.837194,3220.173948
2018-12-19,6810689118,3207.890083,3435.911008
2018-12-20,8927129279,3244.20791,3646.368809
2018-12-21,7206015706,3350.323271,3652.633829
2018-12-22,5605823232,3354.492942,3492.338877
2018-12-23,6151275489,3459.473013,3554.579561
2018-12-24,7240968501,3480.288655,3716.459458
2018-12-25,6158207293,3271.217842,3557.918525
2018-12-26,5326547918,3279.78148,3387.222869
2018-12-27,5130222366,3171.540183,3370.742783
2018-12-28,5631554348,3169.08991,3441.838308
2018-12-29,4991655917,3323.755561,3448.470146
2018-12-30,4770578574,3303.580737,3394.660774
2018-12-31,4661840806,3241.504666,3365.80634
2019-01-01,4324200990,3225.291145,3350.295022
2019-01-02,5244856835,3321.146199,3434.743645
2019-01-03,4530215218,3328.813923,3424.046001
2019-01-04,4847965467,3291.952771,3363.363076
2019-01-05,5137609823,3338.103127,3397.265676
2019-01-06,5597027439,3329.06647,3561.168706
2019-01-07,5228625637,3498.177817,3560.573767
2019-01-08,5306593305,3477.35113,3574.848267
2019-01-09,5115905224,3499.716673,3539.511101
2019-01-10,6874143795,3183.481868,3535.737986
2019-01-11,5538712864,3178.170747,3231.077197
2019-01-12,4778170882,3178.815388,3218.111096
2019-01-13,4681302465,3084.086704,3197.041209
